,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,full_address
0,16,1970,1,1,0,0,0,0,142,0,1,138,1,2,0,0,0,0,0,0,0,1 BEACH RD Singapore
1,14,1975,1,0,0,1,0,0,206,0,0,204,0,2,0,0,0,0,0,0,0,1 BEDOK STH AVE 1 Singapore
2,2,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 CANTONMENT RD Singapore
3,15,1982,1,0,0,0,0,0,102,0,0,0,10,92,0,0,0,0,0,0,0,1 CHAI CHEE RD Singapore
4,4,1975,1,1,0,0,0,0,55,0,0,54,0,1,0,0,0,0,0,0,0,1 CHANGI VILLAGE RD Singapore
5,25,1982,1,0,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,1 DELTA AVE Singapore
6,12,1975,1,0,0,1,0,0,125,0,0,118,0,7,0,0,0,0,0,0,0,1 DOVER RD Singapore
7,14,1977,1,0,0,1,0,0,247,0,0,0,0,0,0,0,0,0,247,0,0,1 EUNOS CRES Singapore
8,12,1980,1,1,0,0,0,0,95,0,0,62,0,33,0,0,0,0,0,0,0,1 EVERTON PK Singapore
9,2,2009,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 GEYLANG SERAI Singapore
10,15,1975,1,0,0,1,0,0,220,0,0,216,0,4,0,0,0,0,0,0,0,1 GHIM MOH RD Singapore
11,15,1976,1,0,0,1,0,0,219,0,0,214,0,5,0,0,0,0,0,0,0,1 HAIG RD Singapore
12,13,1973,1,0,0,1,0,0,319,0,0,0,0,0,0,0,0,319,0,0,0,1 HOLLAND CL Singapore
13,14,1974,1,0,0,1,0,0,204,0,0,200,0,4,0,0,0,0,0,0,0,1 HOUGANG AVE 3 Singapore
14,14,1974,1,1,0,0,0,0,244,0,0,244,0,0,0,0,0,0,0,0,0,1 JLN BT MERAH Singapore
15,17,1969,1,0,1,1,0,0,84,0,0,0,0,0,0,0,0,0,56,14,14,1 JLN KUKOH Singapore
16,5,1984,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 JOO CHIAT RD Singapore
17,10,1963,1,0,0,0,0,0,107,0,0,106,1,0,0,0,0,0,0,0,0,1 KG KAYU RD Singapore
18,14,1977,1,0,0,1,0,0,179,0,0,176,0,3,0,0,0,0,0,0,0,1 LOR LEW LIAN Singapore
19,11,1968,1,0,0,0,0,0,197,0,0,196,0,1,0,0,0,0,0,0,0,1 LOR 7 TOA PAYOH Singapore
20,25,1974,1,1,0,0,0,0,96,0,0,0,0,96,0,0,0,0,0,0,0,1 MARINE TER Singapore
21,11,1973,1,0,0,1,0,0,159,0,0,158,0,1,0,0,0,0,0,0,0,1 MARSILING DR Singapore
22,14,1970,1,1,0,1,0,0,176,0,0,0,0,0,0,0,0,0,176,0,0,1 MAUDE RD Singapore
23,19,1998,1,0,0,0,0,0,156,0,0,0,100,56,0,0,0,0,0,0,0,1 PINE CL Singapore
24,23,1974,1,0,0,0,0,0,88,0,0,0,0,88,0,0,0,0,0,0,0,1 QUEEN'S RD Singapore
25,7,1955,1,0,0,0,0,0,41,0,0,40,1,0,0,0,0,0,0,0,0,1 REDHILL CL Singapore
26,12,1975,1,0,0,1,0,0,154,0,0,0,154,0,0,0,0,0,0,0,0,1 ST. GEORGE'S RD Singapore
27,7,2016,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 TAMPINES WALK Singapore
28,13,1983,1,0,0,0,0,0,118,0,0,68,48,0,2,0,0,0,0,0,0,1 TECK WHYE AVE Singapore
29,16,1973,1,1,0,0,0,0,148,0,0,146,0,2,0,0,0,0,0,0,0,1 TELOK BLANGAH CRES Singapore
30,24,1976,1,1,0,1,0,0,163,0,0,158,0,5,0,0,0,0,0,0,0,1 TG PAGAR PLAZA Singapore
31,4,1977,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8,0,1 THOMSON RD Singapore
32,13,1987,1,0,0,1,0,0,132,0,0,0,72,60,0,0,0,0,0,0,0,1 TOH YI DR Singapore
33,1,2003,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 UPP ALJUNIED LANE Singapore
34,2,1994,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 WOODLANDS IND PK E3 Singapore
35,1,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A C'WEALTH DR Singapore
36,50,2009,1,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1A CANTONMENT RD Singapore
37,2,1981,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1A EUNOS CRES Singapore
38,1,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1A EVERTON PK Singapore
39,1,2005,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TELOK BLANGAH CRES Singapore
40,5,2015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TELOK PAKU RD Singapore
41,1,1980,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A THOMSON RD Singapore
42,4,1988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1A TOH YI DR Singapore
43,50,2009,1,0,0,0,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1B CANTONMENT RD Singapore
44,50,2009,1,0,0,0,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1C CANTONMENT RD Singapore
45,50,2009,1,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1D CANTONMENT RD Singapore
46,50,2009,1,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1E CANTONMENT RD Singapore
47,50,2009,1,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1F CANTONMENT RD Singapore
48,50,2009,1,0,0,1,0,0,264,0,0,0,176,88,0,0,0,0,0,0,0,1G CANTONMENT RD Singapore
49,7,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 BENDEMEER RD Singapore
50,5,2000,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10 CANTONMENT CL Singapore
51,15,1999,1,1,0,0,0,0,84,0,0,0,56,28,0,0,0,0,0,0,0,10 CHAI CHEE RD Singapore
