,Address,Latitude,Longitude
0,309 ANG MO KIO AVE 1 Singapore,1.3660701,103.8448399
1,216 ANG MO KIO AVE 1 Singapore,1.36582,103.84145
2,211 ANG MO KIO AVE 3 Singapore,1.36874,103.84098
3,202 ANG MO KIO AVE 3 Singapore,1.36833,103.84415
4,235 ANG MO KIO AVE 3 Singapore,1.36762,103.83709
5,232 ANG MO KIO AVE 3 Singapore,1.3683,103.83692
6,308 ANG MO KIO AVE 1 Singapore,1.3656205,103.8438752
7,220 ANG MO KIO AVE 1 Singapore,1.36587,103.84012
8,219 ANG MO KIO AVE 1 Singapore,1.36616,103.84064
9,247 ANG MO KIO AVE 3 Singapore,1.36823,103.83391
10,320 ANG MO KIO AVE 1 Singapore,1.36559,103.84891
11,252 ANG MO KIO AVE 4 Singapore,1.36996,103.83488
12,223 ANG MO KIO AVE 1 Singapore,1.36637,103.83757
13,230 ANG MO KIO AVE 3 Singapore,1.36843,103.83836
14,329 ANG MO KIO AVE 3 Singapore,1.36643,103.84726
15,313 ANG MO KIO AVE 3 Singapore,1.3668,103.84972
16,117 ANG MO KIO AVE 4 Singapore,1.37361,103.83612
17,110 ANG MO KIO AVE 4 Singapore,1.37058,103.83707
18,343 ANG MO KIO AVE 3 Singapore,1.36857,103.84929
19,345 ANG MO KIO AVE 3 Singapore,1.3677,103.84966
20,346 ANG MO KIO AVE 3 Singapore,1.36692,103.8497
21,121 ANG MO KIO AVE 3 Singapore,1.37016,103.84416
22,129 ANG MO KIO AVE 3 Singapore,1.3703,103.84239
23,130 ANG MO KIO AVE 3 Singapore,1.37048,103.84236
24,128 ANG MO KIO AVE 3 Singapore,1.3706,103.84353
25,127 ANG MO KIO AVE 3 Singapore,1.37147,103.8436
26,126 ANG MO KIO AVE 3 Singapore,1.37147,103.84362
27,403 ANG MO KIO AVE 10 Singapore,1.36108,103.85465
28,404 ANG MO KIO AVE 10 Singapore,1.36113,103.85451
29,405 ANG MO KIO AVE 10 Singapore,1.3614,103.85373
30,417 ANG MO KIO AVE 10 Singapore,1.36434,103.85505
31,418 ANG MO KIO AVE 10 Singapore,1.36473,103.85401
32,419 ANG MO KIO AVE 10 Singapore,1.36469,103.85411
33,441 ANG MO KIO AVE 10 Singapore,1.36622,103.8543
34,442 ANG MO KIO AVE 10 Singapore,1.36624,103.85542
35,443 ANG MO KIO AVE 10 Singapore,1.36637,103.85507
36,444 ANG MO KIO AVE 10 Singapore,1.36641,103.85547
37,450 ANG MO KIO AVE 10 Singapore,1.36832,103.85538
38,435 ANG MO KIO AVE 10 Singapore,1.36788,103.8543
39,433 ANG MO KIO AVE 10 Singapore,1.36826,103.85447
40,434 ANG MO KIO AVE 10 Singapore,1.36803,103.85388
41,424 ANG MO KIO AVE 3 Singapore,1.36834,103.85131
42,425 ANG MO KIO AVE 3 Singapore,1.36856,103.85178
43,466 ANG MO KIO AVE 10 Singapore,1.36552,103.85718
44,471 ANG MO KIO AVE 10 Singapore,1.36344,103.85749
45,474 ANG MO KIO AVE 10 Singapore,1.36298,103.85739
