line,station_name,year_opened,is_interchange,Latitude,Longitude
DT,BUKIT PANJANG MRT STATION SINGAPORE,Dec-15,0,1.378626,103.761431
DT,CASHEW MRT STATION SINGAPORE,Dec-15,0,1.3699756,103.7645794
DT,HILLVIEW MRT STATION SINGAPORE,Dec-15,0,1.3630377,103.7674128
DT,BEAUTY WORLD MRT STATION SINGAPORE,Dec-15,0,1.3415532,103.7757466
DT,KING ALBERT PARK MRT STATION SINGAPORE,Dec-15,0,1.3356884,103.7831926
DT,SIXTH AVENUE MRT STATION SINGAPORE,Dec-15,0,1.3311776,103.7972016
DT,TAN KAH KEE MRT STATION SINGAPORE,Dec-15,0,1.3257996,103.8079556
DT,BOTANIC GARDENS MRT STATION SINGAPORE,Dec-15,1,1.3223117,103.8149268
DT,STEVENS MRT STATION SINGAPORE,Dec-15,0,1.3199584,103.8259427
DT,NEWTON MRT STATION SINGAPORE,Dec-15,1,1.3137897,103.8377317
DT,LITTLE INDIA MRT STATION SINGAPORE,Dec-15,1,1.3066479,103.8494066
DT,ROCHOR MRT STATION SINGAPORE,Dec-15,0,1.3035362,103.8525596
DT,BUGIS MRT STATION SINGAPORE,Dec-13,1,1.3006608,103.8558619
DT,PROMENADE MRT STATION SINGAPORE,Dec-13,1,1.2939988,103.8601773
DT,BAYFRONT MRT STATION SINGAPORE,Dec-13,1,1.2813386,103.8589551
DT,DOWNTOWN MRT STATION SINGAPORE,Dec-13,0,1.2794576,103.8528128
DT,TELOK AYER MRT STATION SINGAPORE,Dec-13,0,1.282221,103.8485947
DT,CHINATOWN MRT STATION SINGAPORE,Dec-13,1,1.2844913,103.8435939
DT,FORT CANNING MRT STATION SINGAPORE,Oct-17,0,1.2915769,103.8446317
DT,BENCOOLEN MRT STATION SINGAPORE,Oct-17,0,1.2984552,103.8499729
DT,JALAN BESAR MRT STATION SINGAPORE,Oct-17,0,1.3055083,103.8554325
DT,BENDEEMER MRT STATION SINGAPORE,Oct-17,0,1.3136206,103.8630656
DT,GEYLANG BAHRU MRT STATION SINGAPORE,Oct-17,0,1.3214143,103.8714786
DT,MATTAR MRT STATION SINGAPORE,Oct-17,0,1.3268461,103.8833045
DT,MACPHERSON MRT STATION SINGAPORE,Oct-17,1,1.3267049,103.8898898
DT,UBI MRT STATION SINGAPORE,Oct-17,0,1.3299231,103.8989327
DT,KAKI BUKIT MRT STATION SINGAPORE,Oct-17,0,1.334927,103.909016
DT,BEDOK NORTH MRT STATION SINGAPORE,Oct-17,0,1.3351391,103.918397
DT,BEDOK RESERVOIR MRT STATION SINGAPORE,Oct-17,0,1.3365418,103.9330942
DT,TAMPINES WEST MRT STATION SINGAPORE,Oct-17,0,1.345508,103.9382436
DT,TAMPINES MRT STATION SINGAPORE,Oct-17,0,1.3544303,103.94276
DT,TAMPINES EAST MRT STATION SINGAPORE,Oct-17,0,1.3563083,103.9546511
DT,UPPER CHANGI MRT STATION SINGAPORE,Oct-17,0,1.3416323,103.9614569
DT,EXPO MRT STATION SINGAPORE,Oct-17,1,1.3344041,103.9614807
CG,EXPO MRT STATION SINGAPORE,Jan-01,1,1.3344041,103.9614807
CG,CHANGI AIRPORT MRT STATION SINGAPORE,Feb-02,0,1.3576001,103.9884873
EW,PASIR RIS MRT STATION SINGAPORE,Nov-87,0,1.3731912,103.9493534
EW,TAMPINES MRT STATION SINGAPORE,Nov-87,1,1.3544303,103.94276
EW,SIMEI MRT STATION SINGAPORE,Nov-87,0,1.34312,103.9534285
EW,TANAH MERAH MRT STATION SINGAPORE,Nov-87,1,1.3272444,103.9464897
EW,BEDOK MRT STATION SINGAPORE,Nov-87,0,1.3240113,103.9301725
EW,KEMBANGAN MRT STATION SINGAPORE,Nov-87,0,1.3209998,103.9129039
EW,EUNOS MRT STATION SINGAPORE,Nov-87,0,1.3197342,103.9028883
EW,PAYA LEBAR MRT STATION SINGAPORE,Nov-87,1,1.3181607,103.8931436
EW,ALJUNIED MRT STATION SINGAPORE,Nov-87,0,1.3163668,103.8827723
EW,KALLANG MRT STATION SINGAPORE,Nov-87,0,1.3114784,103.8713507
EW,LAVENDER MRT STATION SINGAPORE,Nov-87,0,1.3074261,103.862848
EW,BUGIS MRT STATION SINGAPORE,Nov-87,1,1.3006608,103.8558619
EW,CITY HALL MRT STATION SINGAPORE,Nov-87,1,1.293076,103.8520677
EW,RAFFLES PLACE MRT STATION SINGAPORE,Nov-87,1,1.2839687,103.8515395
EW,TANJONG PAGAR MRT STATION SINGAPORE,Nov-87,0,1.2763419,103.8467924
EW,OUTRAM PARK MRT STATION SINGAPORE,Nov-87,1,1.2802438,103.8394591
EW,TIONG BAHRU MRT STATION SINGAPORE,Nov-87,0,1.2865018,103.8269778
EW,REDHILL MRT STATION SINGAPORE,Nov-87,0,1.2896415,103.8167982
EW,QUEENSTOWN MRT STATION SINGAPORE,Nov-87,0,1.2948352,103.8059016
EW,COMMONWEALTH MRT STATION SINGAPORE,Nov-87,0,1.3023957,103.7983157
EW,BUONA VISTA MRT STATION SINGAPORE,Nov-87,0,1.3072937,103.7900463
EW,DOVER MRT STATION SINGAPORE,Nov-87,0,1.3113926,103.7786068
EW,CLEMENTI MRT STATION SINGAPORE,Nov-87,0,1.3150696,103.7652462
EW,JURONG EAST MRT STATION SINGAPORE,Nov-87,1,1.3331427,103.7423293
EW,CHINESE GARDEN MRT STATION SINGAPORE,Nov-87,0,1.3424249,103.7325924
